Position,Company,Location
Senior Data Analyst,startup oi,"Ho Chi Minh City, Vietnam"
Data Analyst/Business Intelligence/Data Scientist,KALAPA,"Quận Nam Từ Liêm, Hanoi, Vietnam"
Data Analyst,C2C Tech Hub,"Ho Chi Minh City, Vietnam"
Chief Data Officer - Transforming Local Bank,Michael Page,"Hanoi, Hanoi, Vietnam"
Reconciliation Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Commercial Finance Analyst,Gene Solutions,Ho Chi Minh City Metropolitan Area
Credit Risk Data Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,VCCORP,"Thanh Xuân Bắc, Hanoi, Vietnam"
Data Analytics Manager,Geniebook,"Ho Chi Minh City, Vietnam"
Data Scientist (Python) (Salary 1500-3000),LARION,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analysis Intern (Remote Internship - Analyst),Brainnest,"Hanoi, Hanoi, Vietnam"
Quantitative Researcher,Athena Studio,"Ho Chi Minh City, Vietnam"
Data Engineer (Python),Hyperion360,Vietnam
Data Scientist,KNOREX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,Infina,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Head of Data - Loyalty Platform Startup,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,Geniebook,"Ho Chi Minh City, Vietnam"
Remote Data Analyst Jobs,Turing.com,Vietnam
Senior Business Intelligence Analyst,VNG Corporation,"Ho Chi Minh City, Vietnam"
Data Analytics & MIS Senior Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Analytics & MIS Lead,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Intern/Junior Business Analyst (Remote Business Analysis Internship),Brainnest,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Risk Model Analyst,VietCredit Finance Company,"Ho Chi Minh City, Vietnam"
Analytics Engineering Manager,Joy Network,"Ho Chi Minh City, Vietnam"
Analytics Engineering Manager,Joy Network,"Ho Chi Minh City, Vietnam"
Business & Data Analyst Exec,Allianz Malaysia,"My Tho, Vietnam"
Data Scientist,GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst - Abbott Rapid Diagnostics,Abbott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Fund Transfer Staff,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst - Ho Chi Minh,GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst [Remote],Inspectorio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Data Scientist, Visa Consulting & Analytics, Vietnam",Visa,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
ZaloPay - Senior Business Intelligence - Funding Channel,VNG Corporation,"Ho Chi Minh City, Vietnam"
IT Business Analyst (All levels),7LAB at 7-Eleven Việt Nam,"Ho Chi Minh City, Vietnam"
Data Analyst Specialist,Gameloft,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Machine Learning Intern,JITS INNOVATION LABS COMPANY,"Hanoi, Hanoi, Vietnam"
HCMC - BI Data Analyst,Amaris Consulting,Ho Chi Minh City Metropolitan Area
Data Scientist,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Scientist,Vinpearl,"Hanoi, Hanoi, Vietnam"
Product Owner - BI Analytics - Remote,Inspectorio,Vietnam
Fraud Detection Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE",Cobblestone Energy,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Lead Data Scientist,POC Pharma,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Data Analyst,Funding Societies | Modalku Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
C&B Lead (Data Analysis/Reporting),VNG Corporation,"Ho Chi Minh City, Vietnam"
Credit Modelling Development,Movi Vietnam,"Ho Chi Minh City, Vietnam"
Machine Learning Engineer l Remote,Inspectorio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,Evizi,"Đà Nang, Da Nang City, Vietnam"
Data Analyst,Puzzle Studio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,Olmo Technology,"Ho Chi Minh City, Vietnam"
Data Analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,Finan,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,MFast,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Product Data Manager,VNPAY,"Hanoi, Hanoi, Vietnam"
Business Intelligence Data Analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Scientist,GeoComply,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Intelligence Developer,Công ty TNHH Viaconto,"Ho Chi Minh City, Vietnam"
Data Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
PVA | Data Analytics & Insights Senior Specialist,Prudential Vietnam Assurance Private Ltd.,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Linehaul Data Analyst - Shopee Xpress,Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Compliance Business Control Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,Cloud Ace,"Hanoi, Hanoi, Vietnam"
Data Analyst,SGS,"Quận 3, Ho Chi Minh City, Vietnam"
