Position,Company,Location
Retail Country Manager (Newly Set-Up),Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Head of Retail Sales,ASSA ABLOY Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Hardware Engineer,Robert Walters,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Helpdesk,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Sustaining Operations Program Manager, Google Nest",Google,"Hoàn Kiếm District, Hanoi, Vietnam"
IT Support Lead,SmartDev,"Đà Nang, Da Nang City, Vietnam"
Hardware Engineer (Kỹ sư phần cứng),Công ty Cổ phần Tập đoàn Công nghệ Unicloud,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Channel Marketing Manager,Asia Association Pte Ltd,"Quân Phuong Ha Trai, Vietnam"
Technical Program Manager (Software),"Fossil Group, Inc.","Ho Chi Minh City, Vietnam"
IT Helpdesk Engineer,"KMS Technology, Inc.","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Technical Architect,POC Pharma,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Sales Manager,Xiaomi Technology,"Ho Chi Minh City, Vietnam"
IT Helpdesk,LG Electronics Vietnam,Hanoi Capital Region
Sales Manager,Xiaomi Technology,"Hanoi, Hanoi, Vietnam"
IT Support,XP Power,"Binh Duong, Vietnam"
"Sustaining Operations Program Manager, Pixel",Google,"Hoàn Kiếm District, Hanoi, Vietnam"
IT Support Engineer,Dezan Shira & Associates,"Ho Chi Minh City, Vietnam"
IT Helpdesk Fresher,Coinhako,"Phường Thảo Điền, Ho Chi Minh City, Vietnam"
Director of Products,OPSWAT,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Field Application Manager,Excelpoint Systems (Pte) Ltd,"Hanoi, Hanoi, Vietnam"
IT Hardware Engineer (CTI),"Vtv – Hyundai Home Shopping Co., Ltd","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Head of Ecommerce,Autonomous Inc,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Operations Program Manager,Supply Chain Resources Group,"Bac Ninh, Vietnam"
Key Account Manager,Tuya Smart,"Ho Chi Minh City, Vietnam"
Engineering Manager (Fullstack),Employment Hero,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Embedded Software Engineer,Samsung Electronics HCMC CE Complex,Ho Chi Minh City Metropolitan Area
IT Support,UOB,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Smart Services Module Manager,VINFAST,"Hanoi, Hanoi, Vietnam"
Technical Support Engineer,"Streamax Technology Co., Ltd.","Hanoi, Hanoi, Vietnam"
Application Administrator,Swiss Post Solutions,"Ho Chi Minh City, Vietnam"
Head of Ecommerce (Product & Marketing Strategy),Autonomous Inc.,"Ho Chi Minh City, Vietnam"
IT System Administrator,Constantia Flexibles,Ho Chi Minh City Metropolitan Area
IT Support Analyst,VF Corporation,"Ho Chi Minh City, Vietnam"
Admin and Office Manager - Ho Chi Minh City,Trusting Social Career Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Junior IT Engineer,OLIVER Agency,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Admin and Office Manager - Ho Chi Minh City,Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Development Manager (FT),iMin Technology,"Chí Minh, Hai Duong, Vietnam"
Senior IT and System Engineer,V-Key - Stronger with V-OS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior/Engineer, Field Applications (Analog/Power)",Excelpoint Systems (Pte) Ltd,"Ho Chi Minh City, Vietnam"
"Site Lead of Sustaining Operation, Consumer Hardware",Google,"Hoàn Kiếm District, Hanoi, Vietnam"
SENIOR IT ENGINEER,"Evoss Global, Inc.","Cam My, Dong Nai, Vietnam"
Engineering Manager,Employment Hero,Vietnam
Information Technology Infrastructure Specialist,T&C Warehousing & Transportation JSC,"Tân Bình, Ho Chi Minh City, Vietnam"
Firmware Engineer,Corsair,"Hanoi, Hanoi, Vietnam"
Designer,Indicia Worldwide,"Quận 1, Ho Chi Minh City, Vietnam"
Customer Support Engineer,Accenture,"Ho Chi Minh City, Vietnam"
"Senior/Engineer, Field Applications (Analog/Power)",Excelpoint Systems (Pte) Ltd,"Hanoi, Hanoi, Vietnam"
Graphic Designer,Synagie,Ho Chi Minh City Metropolitan Area
Information Technology Supporter,LIXIL Vietnam Corporation,"Gia Lâm District, Hanoi, Vietnam"
(Remote) Junior Frontend Developer,Employment Hero,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
