Position,Company,Location
Senior Security Specialist,NOVAGROUP,"Ho Chi Minh City, Vietnam"
Associate - Cyber Security,PwC,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Security Manager,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Security Risk and Compliance Executive,Ho Chi Minh City Securities Corporation (HSC),"Ho Chi Minh City, Vietnam"
Information Security Engineer,DIGI-TEXX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Information Security Engineer,DIGI-TEXX VIETNAM,"Ho Chi Minh City, Vietnam"
Cyber Security Intern (Remote Cybersecurity Internship),Brainnest,"Hanoi, Hanoi, Vietnam"
Security Supervisor,DHL Supply Chain,"Dong Nai, Vietnam"
Associate - Cyber Security,PwC,"Hanoi, Hanoi, Vietnam"
IT Network & Security Officer,Daikin Vietnam,Ho Chi Minh City Metropolitan Area
[Hanoi] Head of Security Risk - Global High-tech group,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Security Engineer,Citigo,"Hanoi, Hanoi, Vietnam"
(SENIOR) IT TECHNICAL ENGINEER / SYSTEM ENGINEER,Ho Chi Minh City Securities Corporation (HSC),Ho Chi Minh City Metropolitan Area
Information Security Specialist,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Security Engineer (Remote Possible),Glints,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Cyber Security Consultant _ Hanoi & HCMC office,EY,"Quân Phuong Ha Trai, Vietnam"
Senior Security Compliance Officer,"KMS Technology, Inc.","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Environment, Health and Safety Manager",Grobest Group,"Biên Hòa, Dong Nai, Vietnam"
Security Engineer,Swiss Post Solutions,"Ho Chi Minh City, Vietnam"
Security Supervisor,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Security Engineer,Coinhako,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Security Governance Manager,Techcombank (TCB),Hanoi Capital Region
Security Compliance Manager,"KMS Technology, Inc.","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Privacy Officer,Grab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Officer-Loss Prevention,Le Méridien Hotels & Resorts,"Ho Chi Minh City, Vietnam"
Operations and Security Manager,SINCERUS,"Ben Tre, Vietnam"
"Senior Manager, IT Governance, Risk and Compliance",Hoiana Resort & Golf,"Quang Nam, Vietnam"
Global Finance Director - Global Cyber Security Business,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
IT Security Compliance Officer,"KMS Technology, Inc.","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Associate in Cyber Security & Privacy services,PwC,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Officer, Information Security (40001098)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
"Senior Officer, Information Security (40001098)",Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Information Security Compliance & Governance Specialist,Coinhako,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Security Test Engineer,Hitachi Vantara,"Ho Chi Minh City, Vietnam"
Cyber Security Engineer,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Anti-Money Laundering Specialist,Fintech Farm Vietnam,"Ho Chi Minh City, Vietnam"
Information Technology System Specialist,GONSA,"Nhà Bè District, Ho Chi Minh City, Vietnam"
IT Application Security,MB AGEAS LIFE,"Phường Cát Linh, Hanoi, Vietnam"
"Associate, Forensic Investigations and Intelligence",Kroll,Vietnam
Devops Fresher,JobHopin,Vietnam
